x;y;z;
-0.828; 0.941;-0.695;
-0.828; 0.941;-0.695;
 0.354; 0.961; 0.805;
-0.941; 0.629; 0.525;
-0.941; 0.629; 0.525;
 0.000; 0.903;-0.383;
 0.848; 0.918;-0.946;
 0.039; 0.965; 0.827;
 0.039; 0.965; 0.827;
-0.540; 0.759; 0.540;
-0.540; 0.759; 0.540;
-0.401; 0.941;-0.004;
-0.485; 0.944; 0.935;
-0.485; 0.944; 0.935;
 0.317; 0.762; 0.142;
 0.772; 0.803;-0.867;
 0.772; 0.803;-0.867;
 0.513; 0.930; 0.061;
-0.135; 0.767;-0.817;
-0.135; 0.767;-0.817;
-0.903; 0.795; 0.649;
-0.903; 0.795; 0.649;
-0.602; 0.721;-0.709;
 0.308; 0.822; 0.848;
 0.308; 0.822; 0.848;
 0.026; 0.912; 0.318;
 0.000; 0.836;-0.802;
 0.000; 0.836;-0.802;
-0.644; 0.974; 0.305;
-0.214; 0.963; 0.821;
-0.214; 0.963; 0.821;
-0.809; 0.507;-0.993;
 0.775; 0.022;-0.285;
 0.775; 0.022;-0.285;
 0.885; 0.818; 0.213;
-0.551; 0.963;-0.643;
-0.551; 0.963;-0.643;
 0.404; 0.864;-0.849;
 0.404; 0.864;-0.849;
 0.268; 0.673; 0.134;
 0.315; 0.891; 0.657;
 0.315; 0.891; 0.657;
-0.127; 0.994;-0.318;
 0.047; 0.988;-0.475;
 0.047; 0.988;-0.475;
-0.623; 0.979; 0.146;
-0.974; 0.503; 0.406;
-0.974; 0.503; 0.406;
 0.623; 0.864; 0.214;
 0.705; 0.874; 0.410;
 0.705; 0.874; 0.410;
 0.014; 0.651; 0.049;
 0.133; 0.840;-0.371;
 0.133; 0.840;-0.371;
 0.896; 0.911; 0.975;
-0.834; 0.958; 0.376;
-0.834; 0.958; 0.376;
 0.157; 0.227; 0.677;
 0.157; 0.227; 0.677;
 0.530; 0.600; 0.190;
 0.806; 0.950;-0.571;
 0.806; 0.950;-0.571;
 0.122; 0.672; 0.391;
-0.591; 0.200; 0.937;
-0.591; 0.200; 0.937;
-0.382; 0.932;-0.098;
-0.216; 0.478; 0.945;
-0.216; 0.478; 0.945;
-0.090; 0.333; 0.774;
-0.353; 0.626; 0.346;
-0.353; 0.626; 0.346;
-0.642; 0.954; 0.706;
-0.642; 0.954; 0.706;
-0.658; 0.789;-0.931;
-0.972; 0.943; 0.432;
-0.972; 0.943; 0.432;
 0.420; 0.987;-0.280;
-0.183; 0.974;-0.696;
-0.183; 0.974;-0.696;
-0.780; 0.947; 0.663;
-0.780; 0.947; 0.663;
-0.233; 0.729;-0.296;
-0.486; 0.905;-0.285;
-0.486; 0.905;-0.285;
 0.704; 0.972;-0.246;
