x;y;z;
-0.480;-0.589;-0.375;
-0.161;-0.659;-0.421;
-0.161;-0.659;-0.421;
-0.047;-0.669;-0.521;
-0.037;-0.609;-0.871;
-0.977;-0.605;-0.954;
-0.612;-0.676;-0.941;
-0.612;-0.676;-0.941;
-0.573;-0.595;-0.335;
-0.112;-0.611;-0.527;
-0.112;-0.611;-0.527;
-0.026;-0.638;-0.460;
-0.026;-0.638;-0.460;
-0.818;-0.565;-0.798;
-0.381;-0.577;-0.849;
-0.381;-0.577;-0.849;
-0.388;-0.551;-0.934;
-0.018;-0.524;-0.048;
 0.375;-0.602;-0.765;
 0.375;-0.602;-0.765;
 0.608;-0.566;-0.846;
 0.149;-0.501;-0.896;
 0.149;-0.501;-0.896;
 0.245;-0.528;-0.768;
 0.333;-0.526;-0.731;
 0.333;-0.526;-0.731;
 0.848;-0.485;-0.569;
 0.936;-0.506;-0.423;
 0.936;-0.506;-0.423;
 0.323;-0.437;-0.354;
 0.607;-0.243;-0.783;
 0.607;-0.243;-0.783;
 0.882;-0.149;-0.824;
 0.765;-0.262;-0.560;
 0.765;-0.262;-0.560;
 0.686;-0.284;-0.566;
 0.452;-0.336;-0.611;
 0.452;-0.336;-0.611;
 0.229;-0.434;-0.455;
 0.229;-0.434;-0.455;
 0.082;-0.369;-0.804;
 0.747;-0.423;-0.852;
 0.442;-0.451;-0.930;
 0.442;-0.451;-0.930;
 0.973;-0.540;-0.834;
 0.740;-0.556;-0.851;
 0.740;-0.556;-0.851;
 0.333;-0.497;-0.111;
-0.127;-0.587;-0.839;
-0.127;-0.587;-0.839;
-0.413;-0.598;-0.775;
-0.908;-0.560;-0.788;
-0.171;-0.596;-0.555;
-0.171;-0.596;-0.555;
-0.529;-0.605;-0.324;
-0.529;-0.605;-0.324;
-0.821;-0.610;-0.080;
-0.099;-0.635;-0.658;
-0.099;-0.635;-0.658;
-0.531;-0.572;-0.402;
-0.615;-0.589;-0.094;
-0.615;-0.589;-0.094;
-0.728;-0.613;-0.363;
-0.803;-0.597;-0.169;
-0.762;-0.610; 0.094;
-0.762;-0.610; 0.094;
-0.546;-0.638; 0.785;
-0.310;-0.647; 0.260;
-0.310;-0.647; 0.260;
-0.904;-0.687; 0.589;
-0.294;-0.607; 0.561;
-0.294;-0.607; 0.561;
-0.292;-0.543; 0.914;
-0.334;-0.578; 0.673;
-0.334;-0.578; 0.673;
-0.534;-0.526; 0.677;
-0.534;-0.526; 0.677;
-0.407;-0.585; 0.522;
