-0.393,  0.991, -0.107
-0.414,  0.989,  0.188
-0.482,  0.988,  0.037
-0.411,  0.991, -0.037
-0.414,  0.991,  0.037
-0.447,  0.989,  0.000
-0.558,  0.979,  0.297
-0.450,  0.989,  0.037
-0.448,  0.989,  0.037
-0.410,  0.991,  0.000
-0.377,  0.992,  0.075
-0.486,  0.988,  0.000
-0.411,  0.991,  0.037
-0.450,  0.989,  0.037
-0.377,  0.991,  0.150
-0.486,  0.988,  0.037
-0.447,  0.989,  0.000
-0.448,  0.989, -0.037
-0.338,  0.994,  0.037
-0.448,  0.989,  0.037
-0.448,  0.989,  0.037
-0.488,  0.987,  0.112
-0.372,  0.993,  0.000
-0.484,  0.987,  0.074
-0.414,  0.990,  0.113
-0.417,  0.991,  0.037
-0.452,  0.989,  0.075
-0.414,  0.991,  0.037
-0.416,  0.991,  0.000
-0.484,  0.988,  0.000
-0.447,  0.989,  0.000
-0.448,  0.989,  0.112
-0.414,  0.991,  0.075
-0.411,  0.990,  0.112
-0.486,  0.988,  0.037
-0.407,  0.991,  0.074
-0.521,  0.986,  0.037
-0.410,  0.991,  0.074
-0.411,  0.991, -0.074
-0.410,  0.991,  0.074
-0.489,  0.987, -0.037
-0.416,  0.991,  0.037
-0.413,  0.991,  0.075
-0.447,  0.989,  0.037
-0.413,  0.991,  0.000
-0.486,  0.987,  0.074
-0.448,  0.989,  0.037
-0.377,  0.992,  0.075
-0.448,  0.989,  0.037
-0.410,  0.991,  0.037
-0.452,  0.987,  0.188
-0.448,  0.989,  0.037
-0.410,  0.991,  0.037
-0.447,  0.989,  0.037
-0.448,  0.989,  0.000
-0.452,  0.989,  0.037
-0.448,  0.989,  0.074
-0.450,  0.989,  0.075
-0.486,  0.987,  0.074
-0.482,  0.987,  0.111
-0.414,  0.991,  0.075
